antibody_id,virus_id,neut
PGDM1400,1HD4K_D0_061616PL2_C2_S57,0
VRC38.05,Q23_17,0
10-1074,5257_V7_B12_3,0
m66,CNE58,0
PG16,CNE53,0
PCT64-35C,89_6,0
vFP1.01,TZBD_02,0
Ab1271,SHIV_AD8EO,0
8ANC195,6471_V1_C16,0
40591-a.01,DU172_17,0
VRC43.01,RHPA4259_7,0
VRC44.01,UG037_8,0
VRC06,H086_8,0
PGT144,UG024_2,0
VRC26.02,TRJO4551_58,0
vFP53.02,Q769_D22,0
IOMA,92BR025_9,0
VRC26.02,96ZM651_02,0
F105,T257_31,0
VRC38.09,DJ263_8,0
vFP49.02,Q769_D22,0
vFP5.01,UG021_16,0
2F5,B027_ENV01,0
AIIMS-P01,Q168_A2,0
DF1W-a.01,3718_3_11,0
0.5gamma,DU422_1,0
TRNM-a.01,T251_18,0
ACS122,CNE19,0
2F5,21283649,0
LJF-0085,3168_V4_C10,0
2408b,X2088_C9,0
VRC06b,CNE55,0
PGDM1400,B004_ENV02,0
PCT64-24H,SS1196_1,0
SF5,BJOX010000_06_2,0
PCT64-24A,PVO_4,0
PCT64-35M,JRFL,0
5695-b.01,T257_31,0
VRC-PG04,T252_7,0
N49P22,THRO4156,0
VRC42.05,DU156_12,0
DH851.1,CE0393_C3,0
VRC-CH31,CAP210_E8,0
VRC01-0fH/0fL,BAL_01,0
PC39-50F,TRJO4551_58,0
LJF-0085,00836_2_5,0
PGZL1_gVmDmJ,92BR020,0
VRC34.05,KER2018_11,0
T646-a.01,SC422_8,0
DH270min12,3337_V2_C6,0
PGT152,C1080_C3,0
F105,3988_25,0
VRC26.18,QH0692_42,0
DF1W-a.01,MB539_2B7,0
CH04,6101_1,0
VRC06b,1394_C9G1,0
CH01,231966_C2,0
b13,6471_V1_C16,0
LJF-0085,CNE8,0
M1214_N2,A07412M1_VRC12,0
Bess1,X2088_C9,0
2411a,X1254_C3,0
179NC75,CNE15,0
VRC01-5fH/0fL,TRJO4551_58,0
VRC44.01,ZA012_29,0
2413a,DU172_17,0
8ANC195,CAP45_G3,0
VRC43.01,BB201_B42,0
2557,DU422_1,0
b13,0260_V5_C36,0
A12V163-a.01,CNE8,0
VRC34.05,MB539_2B7,0
Z13e1,3637_V5_C3,0
PGDM1400,CAP220_2_00_A8_5B,0
vFP1.01,92RW020_2,0
ACS117,C4118_9,0
PCIN71I1a,C4118_9,0
916B2,PVO_4,0
Z13e1,16936_2_21,0
TRNM-f.01,C4118_9,0
CH04,001428_2_42,0
F105,THRO4156,0
GPZ6-a.01,ZM53_12,0
VRC26.27,16845_2_22,0
PGT131,SC422_8,0
447-52D,45_01DG5,0
VRC26.03,SC422_8,0
830A,TRO_11,0
ACS202,X1193_C1,0
VRC26.31,3016_V5_C45,0
A12V163-a.02,6631_V3_C10,0
PCT64-35B,93IN905,0
CH103,CM244_EC1,0
DH563,TRJO4551_58,0
DH270.1,CNE10,0
2158,H030_7,0
PGDM1400,3016_V5_C45,0
A12V163-a.01,MS208_A1,0
PCT64-35B,T255_34,0
PCT64-35C,SS1196_1,0
DF1W-a.01,R1166_C1,0
2413b,DU422_1,0
LJF-0142,CH038_12,0
PCIN71N1a,HXB2,0
PC39-28E,703010054_2A2,0
A12V163-a.01,CNE56,0
DF1W-a.02,T255_34,0
697-D,THRO4156,0
2G12,YN148R_9,0
